total,day,deaths,date
1,1,0,26 fev
0,0,0,27 fev
0,0,0,28 fev
2,1,0,29 fev
0,0,0,01 mar
0,0,0,02 mar
0,0,0,03 mar
3,1,0,04 mar
6,3,0,05 mar
10,4,0,06 mar
13,3,0,07 mar
16,3,0,08 mar
16,0,0,09 mar
19,3,0,10 mar
30,11,0,11 mar
46,16,0,12 mar
56,10,0,13 mar
65,9,0,14 mar
136,71,0,15 mar
152,16,0,16 mar
164,12,1,17 mar
240,76,3,18 mar
286,46,1,19 mar
396,110,4,20 mar
459,63,6,21 mar
631,172,7,22 mar
745,114,8,23 mar
810,65,10,24 mar
862,52,8,25 mar
1052,190,10,26 mar
1223,171,10,27 mar
1406,183,16,28 mar
1451,45,14,29 mar
1517,66,15,30 mar
2339,822,23,31 mar
2981,642,28,01 abr
3506,525,44,02 abr
4048,542,11,03 abr
4466,418,41,04 abr
4620,154,15,05 abr
4861,241,29,06 abr
5682,821,67,07 abr
6708,1026,57,08 abr
7480,772,68,09 abr
8216,736,44,10 abr
8419,203,20,11 abr
8755,336,28,12 abr
